Headword ;Başlık;List 
fortunate;şanslı;1k
forward;ileri;1k
four;dört;1k
free;özgür;1k
freeze;dondurmak;1k
fresh;taze;1k
friday;cuma;1k
friend;arkadaş;1k
fright;korku;1k
from;itibaren;1k
front;ön;1k
full;tam dolu;1k
fun;eğlence;1k
further;daha öte;1k
game;oyun;1k
garden;bahçe;1k
gas;gaz;1k
general;genel;1k
gentle;nazik;1k
get;elde etmek;1k
girl;kız;1k
give;vermek;1k
glad;memnun;1k
glance;bakış atmak;1k
glass;bardak;1k
go;Gitmek;1k
god;Tanrı;1k
gold;altın;1k
good;iyi;1k
goodbye;Güle güle;1k
govern;yönetmek;1k
grandfather;büyükbaba;1k
grass;çimen;1k
great;Harika;1k
green;yeşil;1k
grey;gri;1k
ground;zemin;1k
group;grup;1k
grow;büyümek;1k
guess;tahmin etmek;1k
gun;silah;1k
guy;adam;1k
hair;saç;1k
half;yarım;1k
hall;salon;1k
hand;el;1k
handle;halletmek;1k
hang;asmak;1k
happen;olmak;1k
happy;mutlu;1k
hard;zor;1k
hardly;zorlu;1k
hat;şapka;1k
hate;nefret;1k
have;sahip olmak;1k
he;O;1k
head;KAFA;1k
health;sağlık;1k
hear;duymak;1k
heart;kalp;1k
heat;sıcaklık;1k
heavy;ağır;1k
hell;cehennem;1k
hello;Merhaba;1k
help;yardım;1k
here;Burada;1k
hide;saklamak;1k
high;yüksek;1k
hill;tepe;1k
history;tarih;1k
hit;vurmak;1k
hold;tutmak;1k
hole;delik;1k
holiday;tatil;1k
home;Ev;1k
honest;dürüst;1k
honour;onur;1k
hope;umut;1k
horrible;berbat;1k
horse;atış;1k
hospital;hastane;1k
hot;sıcak;1k
hour;saat;1k
house;ev;1k
how;Nasıl;1k
however;Yine de;1k
huge;büyük;1k
human;insan;1k
hundred;yüz;1k
hungry;aç;1k
hunt;avlamak;1k
hurry;acele etmek;1k
hurt;acıtmak;1k
husband;koca;1k
i;Ben;1k
ice;buz;1k
idea;fikir;1k
if;eğer;1k
imagine;hayal etmek;1k
important;önemli;1k
in;içinde;1k
indeed;Aslında;1k
inform;bilgi vermek;1k
inside;içeri;1k
instead;yerine;1k
insure;sigortalamak;1k
interest;faiz;1k
into;içine;1k
involve;içermek;1k
island;ada;1k
issue;sorun;1k
it;BT;1k
job;iş;1k
join;katılmak;1k
joke;şaka;1k
judge;yargıç;1k
jump;zıplamak;1k
just;Sadece;1k
keep;kale;1k
key;anahtar;1k
kick;tekme atmak;1k
kid;çocuk;1k
kill;öldürmek;1k
kind;tür;1k
king;kral;1k
kiss;öpücük;1k
kitchen;mutfak;1k
knock;kapıyı çalmak;1k
know;Bilmek;1k
lady;bayan;1k
lake;göl;1k
land;kara;1k
large;büyük;1k
last;son;1k
late;geç;1k
laugh;gülmek;1k
law;kanun;1k
lay;sermek;1k
lazy;tembel;1k
lead;yol göstermek;1k
learn;öğrenmek;1k
least;en az;1k
leave;ayrılmak;1k
left;sol;1k
leg;bacak;1k
less;az;1k
let;izin vermek;1k
letter;mektup;1k
level;seviye;1k
lie;yalan;1k
life;hayat;1k
lift;kaldırmak;1k
light;ışık;1k
like;beğenmek;1k
liked;beğenildi;1k
line;astar;1k
lip;dudak;1k
list;liste;1k
listen;Dinlemek;1k
little;biraz;1k
live;canlı;1k
load;yük;1k
local;yerel;1k
lock;kilit;1k
long;uzun;1k
look;Bakmak;1k
lord;efendim;1k
lose;kaybetmek;1k
lot;pay;1k
loud;yüksek sesle;1k
love;Aşk;1k
lovely;sevimli;1k
low;Düşük;1k
luck;şans;1k
lunch;öğle yemeği;1k
machine;makine;1k
mad;kızgın;1k
main;ana;1k
major;ana;1k
make;yapmak;1k
man;Adam;1k
manage;üstesinden gelmek;1k
many;birçok;1k
mark;işaret;1k
market;pazar;1k
marry;evlenmek;1k
master;usta;1k
matter;konu;1k
may;mayıs;1k
maybe;Belki;1k
meal;yemek;1k
mean;Anlam;1k
meet;tanışmak;1k
member;üye;1k
mention;değinmek;1k
mess;karışıklık;1k
middle;orta;1k
might;belki;1k
mile;mil;1k
milk;süt;1k
million;milyon;1k
mind;akıl;1k
minute;dakika;1k
miss;kayıp;1k
missed;kaçırıldı;1k
mistake;hata;1k
mister;bayım;1k
moment;an;1k
monday;Pazartesi;1k
money;para;1k
month;ay;1k
more;Daha;1k
morning;Sabah;1k
most;en;1k
mother;anne;1k
mountain;dağ;1k
mouth;ağız;1k
move;taşınmak;1k
movie;film;1k
mrs;bayan;1k
much;fazla;1k
mum;anne;1k
music;müzik;1k
must;mutlak;1k
name;isim;1k
nation;ulus;1k
nature;doğa;1k
naughty;yaramaz;1k
near;yakın;1k
neat;düzenli;1k
necessary;gerekli;1k
neck;boyun;1k
need;ihtiyaç;1k
neighbour;komşu;1k
never;Asla;1k
new;yeni;1k
news;haberler;1k
next;Sonraki;1k
nice;Güzel;1k
night;gece;1k
nine;dokuz;1k
no;HAYIR;1k
noise;gürültü;1k
none;hiçbiri;1k
normal;normal;1k
north;kuzey;1k
nose;burun;1k
not;Olumsuz;1k
note;Not;1k
notice;fark etme;1k
now;Şimdi;1k
number;sayı;1k
nurse;hemşire;1k
obvious;bariz;1k
odd;garip;1k
of;ile ilgili;1k
off;kapalı;1k
offer;teklif;1k
office;ofis;1k
officer;memur;1k
often;sıklıkla;1k
oil;yağ;1k
ok;Tamam;1k
old;eskimiş;1k
on;Açık;1k
once;bir kere;1k
one;bir;1k
only;sadece;1k
open;açık;1k
or;veya;1k
orange;turuncu;1k
order;emir;1k
other;diğer;1k
ought;yapmalı;1k
out;dışarı;1k
over;üzerinde;1k
own;sahip olmak;1k
owned;sahip olunan;1k
pack;ambalaj;1k
page;sayfa;1k
pain;ağrı;1k
paint;boyamak;1k
pair;çift;1k
paper;kağıt;1k
pardon;bağışlamak;1k
parent;ebeveyn;1k
park;park;1k
part;parça;1k
particular;özel;1k
party;parti;1k
pass;geçmek;1k
past;geçmiş;1k
pay;ödemek;1k
penny;kuruş;1k
people;insanlar;1k
perfect;mükemmel;1k
perhaps;belki;1k
person;kişi;1k
photograph;fotoğraf;1k
pick;seçmek;1k
picture;resim;1k
piece;parça;1k
place;yer;1k
plan;planı;1k
plant;bitki;1k
play;oynamak;1k
please;Lütfen;1k
plenty;bolca;1k
plus;artı;1k
point;nokta;1k
police;polis;1k
poor;fakir;1k
pop;pop;1k
position;konum;1k
possible;olası;1k
post;postalamak;1k
pot;saksı;1k
pound;pound;1k
power;güç;1k
prepare;hazırlanmak;1k
present;Sunmak;1k
presented;sundu;1k
press;basmak;1k
pretty;tatlı;1k
price;fiyat;1k
prince;prens;1k
prison;hapishane;1k
probably;muhtemelen;1k
problem;sorun;1k
programme;programı;1k
promise;söz;1k
proper;düzgün;1k
protect;korumak;1k
public;halk;1k
pull;çekmek;1k
push;itmek;1k
put;koymak;1k
quarter;çeyrek;1k
queen;kraliçe;1k
question;soru;1k
quick;hızlı;1k
quiet;sessizlik;1k
quite;epeyce;1k
rabbit;tavşan;1k
race;ırk;1k
radio;radyo;1k
rain;yağmur;1k
raise;artırmak;1k
rate;oran;1k
rather;yerine;1k
reach;ulaşmak;1k
read;Okumak;1k
ready;hazır;1k
real;gerçek;1k
realise;fark etmek;1k
really;Gerçekten;1k
reason;sebep;1k
recent;son;1k
record;kayıt;1k
red;kırmızı;1k
relate;ilgili olmak;1k
remember;Unutma;1k
rent;kira;1k
reply;cevap vermek;1k
report;rapor;1k
responsible;sorumlu;1k
rest;dinlenmek;1k
rested;dinlenmiş;1k
return;geri dönmek;1k
rich;zengin;1k
rid;kurtulmak;1k
ride;sürmek;1k
right;Sağ;1k
rights;haklar;1k
ring;yüzük;1k
rise;yükselmek;1k
river;nehir;1k
road;yol;1k
rock;kaynak;1k
roll;rulo;1k
room;oda;1k
rough;kaba ;1k
round;yuvarlak;1k
rubbish;zırva;1k
rule;kural;1k
run;koşmak;1k
sad;üzgün;1k
safe;güvenli;1k
sail;denize açılmak;1k
same;Aynı;1k
saturday;Cumartesi;1k
save;kaydetmek;1k
say;söylemek;1k
scare;korkutmak;1k
school;okul;1k
science;bilim;1k
sea;deniz;1k
seat;koltuk;1k
second;ikinci;1k
secure;güvenli;1k
see;Görmek;1k
seem;gözükmek;1k
self;öz;1k
sell;satmak;1k
send;Göndermek;1k
sense;algı;1k
serious;cidden;1k
serve;sert;1k
service;hizmet;1k
set;ayarlamak;1k
settle;yerleşmek;1k
seven;Yedi;1k
several;birçok;1k
sex;seks;1k
shake;sallamak;1k
shall;olacak;1k
shape;şekil;1k
share;paylaşmak;1k
she;o;1k
ship;gemi;1k
shirt;gömlek;1k
shoe;ayakkabı;1k
shoot;film çekmek;1k
shop;mağaza;1k
short;kısa;1k
should;yapmalı;1k
shoulder;omuz;1k
shout;bağırmak;1k
show;göstermek;1k
shut;kapat;1k
shy;utangaç;1k
sick;hasta;1k
side;taraf;1k
sight;görünüş;1k
sign;imza;1k
silly;şapşal;1k
simple;basit;1k
since;o zamandan beri;1k
sing;şarkı söylemek;1k
single;Bekar;1k
sir;Sayın;1k
sister;kız kardeş;1k
sit;oturmak;1k
situation;durum;1k
six;altı;1k
size;boyut;1k
skin;deri;1k
sky;gökyüzü;1k
sleep;uyumak;1k
slight;hafif;1k
slip;kayma;1k
slow;yavaş;1k
small;küçük;1k
smell;koku;1k
smile;gülümsemek;1k
smoke;duman;1k
snow;kar;1k
so;Bu yüzden;1k
soft;yumuşak;1k
some;bazı;1k
son;oğul;1k
song;şarkı;1k
soon;yakında;1k
sorry;Üzgünüm;1k
sort;düzenlemek;1k
sound;ses;1k
south;güney;1k
space;uzay;1k
speak;konuşmak;1k
special;özel;1k
spend;harcamak;1k
sport;spor;1k
spot;leke;1k
spring;bahar;1k
square;kare;1k
stage;sahne;1k
stand;durmak;1k
star;yıldız;1k
stare;bakmak;1k
start;başlangıç;1k
state;durum;1k
station;istasyon;1k
stay;kalmak;1k
steal;hırsızlık yapmak;1k
step;adım;1k
stick;sopa;1k
still;Hala;1k
stone;taş;1k
stop;durmak;1k
store;mağaza;1k
story;hikaye;1k
straight;dümdüz;1k
strange;garip;1k
street;sokak;1k
strike;çarpmak;1k
strong;güçlü;1k
student;öğrenci;1k
study;çalışmak;1k
stuff;şey;1k
stupid;aptal;1k
subject;ders;1k
such;çok;1k
sudden;birden;1k
suggest;tavsiye etmek;1k
suit;uygun olmak;1k
summer;yaz;1k
sun;güneş;1k
sunday;Pazar;1k
support;Destek;1k
suppose;sanmak;1k
sure;Elbette;1k
surprise;sürpriz;1k
sweet;tatlı;1k
swim;yüzmek;1k
system;sistem;1k
table;masa;1k
tail;kuyruk;1k
take;almak;1k
talk;konuşmak;1k
tall;uzun;1k
tape;kaset;1k
taste;tatmak;1k
tax;vergi;1k
tea;çay;1k
teach;öğretmek;1k
team;takım;1k
tear;göz yaşı;1k
telephone;telefon;1k
television;televizyon;1k
tell;söylemek;1k
ten;on;1k
tend;eğilimli olma;1k
term;terim;1k
terrible;korkunç;1k
test;test;1k
than;hariç;1k
thank;teşekkür etmek;1k
that;O;1k
the;the;1k
then;Daha sonra;1k
there;Orası;1k
they;Onlar;1k
thick;kalın;1k
thing;şey;1k
think;düşünmek;1k
thirst;susuzluk;1k
thirteen;on üç;1k
thirty;otuz;1k
this;Bu;1k
though;Yine de;1k
thousand;bin;1k
three;üç;1k
throat;boğaz;1k
through;başından sonuna kadar;1k
throw;fırlatmak;1k
thursday;Perşembe;1k
tie;bağlamak;1k
tight;sıkı;1k
till;kadar;1k
time;zaman;1k
tire;yorulmak;1k
to;ile;1k
today;Bugün;1k
together;birlikte;1k
tomorrow;Yarın;1k
tonight;bu akşam;1k
too;fazla;1k
tooth;diş;1k
top;tepe;1k
total;toplam;1k
touch;dokunmak;1k
toward;karşı;1k
town;şehir;1k
track;izlemek;1k
train;tren;1k
travel;seyahat;1k
treat;davranmak;1k
tree;ağaç;1k
trip;seyahat;1k
trouble;bela;1k
DOĞRU;Doğru;1k
trust;güven;1k
truth;gerçek;1k
try;denemek;1k
tuesday;Salı;1k
turn;dönüş;1k
twelve;on iki;1k
twenty;yirmi;1k
two;iki;1k
type;tip;1k
ugly;çirkin;1k
uncle;amca;1k
under;altında;1k
underneath;altında;1k
understand;anlamak;1k
unless;meğer ki;1k
until;değin;1k
up;yukarı;1k
upon;üzerine;1k
use;kullanmak;1k
usual;olağan;1k
van;kamyonet;1k
very;çok;1k
video;video;1k
view;görüş;1k
visit;ziyaret etmek;1k
voice;ses;1k
wait;Beklemek;1k
wake;uyanmak;1k
walk;yürümek;1k
wall;duvar;1k
want;istek;1k
war;savaş;1k
warm;ılık;1k
wash;yıkamak;1k
waste;atık;1k
watch;kol saati;1k
water;su;1k
wave;dalga;1k
way;yol;1k
we;Biz;1k
wear;giymek;1k
weather;hava durumu;1k
web;ağ;1k
wednesday;Çarşamba;1k
week;hafta;1k
weight;ağırlık;1k
well;Peki;1k
west;batı;1k
wet;ıslak;1k
what;Ne;1k
wheel;teker;1k
when;Ne zaman;1k
where;Neresi;1k
whether;ikisinden biri;1k
which;Hangi;1k
while;sırasında;1k
white;beyaz;1k
who;DSÖ;1k
whole;tüm;1k
why;Neden;1k
wide;geniş;1k
wife;eş;1k
wild;vahşi;1k
will;irade;1k
willing;hevesli;1k
win;kazanç;1k
wind;rüzgâr;1k
window;pencere;1k
wine;şarap;1k
winter;kış;1k
wish;dilek;1k
with;ile;1k
within;içinde;1k
without;olmadan;1k
woman;kadın;1k
wonder;merak etmek;1k
wood;odun;1k
word;kelime;1k
work;iş;1k
world;dünya;1k
worry;endişelenmek;1k
worse;daha kötüsü;1k
worth;değer;1k
would;istemek;1k
write;yazmak;1k
wrong;yanlış;1k
yard;bahçe;1k
yards;metre;1k
year;yıl;1k
yellow;sarı;1k
yes;Evet;1k
yesterday;Dün;1k
yet;henüz;1k
you;Sen;1k
young;genç;1k
zero;sıfır;1k
accent;aksan;2k
access;erişim;2k
accident;kaza;2k
according;binaen;2k
account;hesap;2k
accuse;suçlamak;2k
ace;as;2k
active;aktif;2k
adapt;uyum sağlamak;2k
admire;beğenmek;2k
adult;yetişkin;2k
advance;ilerlemek;2k
advantage;avantaj;2k
adventure;macera;2k
advice;tavsiye;2k
advise;öğüt vermek;2k
affair;mesele;2k
affect;etkilemek;2k
agent;ajan;2k
aid;yardım;2k
alarm;alarm;2k
alcohol;alkol;2k
alive;canlı;2k
alter;değiştirmek;2k
altogether;tamamen;2k
amaze;hayrete düşürmek;2k
amuse;eğlendirmek;2k
angel;melek;2k
anger;kızgınlık;2k
announce;duyurmak;2k
annoy;kızdırmak;2k
anxious;endişeli;2k
apartment;daire;2k
appeal;çekici;2k
apple;elma;2k
apply;uygula;2k
appoint;atamak;2k
appreciate;takdirle karşılamak;2k
approach;yaklaşmak;2k
april;nisan;2k
argue;tartışmak;2k
army;ordu;2k
arrest;tutuklamak;2k
article;madde;2k
aside;bir kenara;2k
asleep;uyuya kalmak;2k
assist;yardım etmek;2k
associate;iş arkadaşı;2k
assume;farz etmek;2k
assure;garanti etmek;2k
atmosphere;atmosfer;2k
attach;eklemek;2k
attack;saldırı;2k
attempt;girişim;2k
attend;katılmak;2k
attention;dikkat;2k
attitude;davranış;2k
attract;cezbetmek;2k
august;Ağustos;2k
automatic;otomatik;2k
available;mevcut;2k
average;ortalama;2k
avoid;kaçınmak;2k
awake;uyanmak;2k
awkward;garip;2k
background;arka plan;2k
bacon;Bacon;2k
bake;pişmek;2k
balance;denge;2k
banana;muz;2k
band;bant;2k
bang;patlama;2k
bare;çıplak;2k
bark;havlamak;2k
basis;temel;2k
basket;sepet;2k
bat;yarasa;2k
battery;pil;2k
battle;savaş;2k
bay;koy;2k
bean;fasulye;2k
bee;arı;2k
beef;biftek;2k
beer;bira;2k
beg;yalvarmak;2k
bell;zil;2k
belong;ait olmak;2k
belt;kemer;2k
bend;bükülmek;2k
benefit;fayda;2k
bike;bisiklet;2k
bin;çöp kutusu;2k
bind;bağlamak;2k
biscuit;bisküvi;2k
bite;ısırmak;2k
bitter;acı;2k
blame;suçlamak;2k
blank;boşluk;2k
blanket;battaniye;2k
bleed;kanama;2k
bless;korusun;2k
blind;kör;2k
block;engellemek;2k
blonde;sarışın;2k
bloom;çiçek açmak;2k
boil;kaynamak;2k
bomb;bomba;2k
bond;bağlamak;2k
boom;patlama;2k
boot;bot;2k
borrow;borç almak;2k
boss;patron;2k
bounce;sıçrama;2k
bow;yay;2k
bowl;tas;2k
bowled;eğlendi;2k
brain;beyin;2k
brake;fren;2k
branch;dal;2k
brand;marka;2k
brave;cesur;2k
breast;göğüs;2k
breathe;nefes almak;2k
breed;yavrulamak;2k
brick;tuğla;2k
bridge;köprü;2k
brief;kısa bilgi;2k
brilliant;muhteşem;2k
broad;geniş;2k
brush;fırçalamak;2k
buck;para;2k
bucket;kova;2k
bug;böcek;2k
bump;çarpmak;2k
bunch;demet;2k
burst;patlamak;2k
bury;gömmek;2k
butter;tereyağı;2k
button;düğme;2k
cable;kablo;2k
cage;kafes;2k
calculate;hesaplamak;2k
calm;sakinlik;2k
camera;kamera;2k
canoe;kano;2k
cans;kutular;2k
cap;kap;2k
capable;yetenekli;2k
cape;pelerin;2k
capital;başkent;2k
captain;kaptan;2k
career;kariyer;2k
carpet;halı;2k
carrot;havuç;2k
cart;araba;2k
cash;peşin;2k
cast;döküm;2k
castle;kale;2k
casual;gündelik;2k
ceiling;tavan;2k
cent;sent;2k
centimetre;santimetre;2k
century;yüzyıl;2k
chain;zincir;2k
challenge;meydan okumak;2k
champion;şampiyon;2k
channel;kanal;2k
chapter;bölüm;2k
character;karakter;2k
charm;cazibe;2k
chase;takip etmek;2k
chat;sohbet;2k
cheat;aldatmak;2k
cheek;yanak;2k
cheer;tezahürat;2k
cheese;peynir;2k
chest;göğüs;2k
chew;çiğnemek;2k
chief;şef;2k
chocolate;çikolata;2k
chop;kesmek;2k
cigarette;sigara;2k
circle;daire;2k
circumstance;durum;2k
citizen;vatandaş;2k
claim;iddia;2k
classic;klasik;2k
clever;akıllı;2k
cliff;uçurum;2k
clip;klip;2k
cloth;kumaş;2k
cloud;bulut;2k
clue;ipucu;2k
coach;koç;2k
coal;kömür;2k
coast;sahil;2k
combine;birleştirmek;2k
command;emretmek;2k
comment;Yorum;2k
commerce;ticaret;2k
commit;işlemek;2k
committee;komite;2k
common;yaygın;2k
community;toplum;2k
compare;karşılaştırmak;2k
competition;yarışma;2k
complain;şikayet etmek;2k
complicate;karmaşık;2k
concentrate;konsantre olmak;2k
condition;durum;2k
confuse;kafası karışmak;2k
connect;bağlamak;2k
conscious;bilinçli;2k
constant;devamlı;2k
contact;temas etmek;2k
contain;içermek;2k
contract;sözleşme;2k
contribute;katkı yapmak;2k
convince;ikna etmek;2k
cop;polis;2k
cope;başa çıkmak;2k
copy;kopyala;2k
correct;doğru;2k
cottage;kır evi;2k
cotton;pamuk;2k
cough;öksürük;2k
council;konsey;2k
counter;tezgah;2k
countryside;kırsal kesim;2k
county;kontluk;2k
cousin;kuzen;2k
cow;inek;2k
crack;çatırtı;2k
crash;kaza;2k
crawl;sürünmek;2k
cream;krem;2k
create;yaratmak;2k
creature;yaratık;2k
credit;kredi;2k
creep;sürünme;2k
criminal;suçlu;2k
crisp;gevrek;2k
crowd;kalabalık;2k
crown;taç;2k
cruel;acımasız;2k
culture;kültür;2k
cure;tedavi;2k
curious;meraklı;2k
curl;kıvırmak;2k
current;akım;2k
customer;müşteri;2k
damage;zarar;2k
dare;cesaret;2k
dawn;şafak;2k
debt;borç;2k
december;Aralık;2k
decent;düzgün;2k
decision;karar;2k
deck;güverte;2k
decorate;süslemek;2k
defence;savunma;2k
delight;zevk;2k
deliver;teslim etmek;2k
demand;talep etmek;2k
deny;reddetmek;2k
department;departman;2k
depress;bastırmak;2k
describe;betimlemek;2k
desert;çöl;2k
deserve;hak etmek;2k
design;tasarım;2k
desire;arzu;2k
desk;çalışma masası;2k
desperate;çaresiz;2k
destroy;tahrip etmek;2k
detail;detay;2k
detect;tespit etmek;2k
determine;belirlemek;2k
develop;geliştirmek;2k
diet;diyet;2k
dine;yemek;2k
direct;doğrudan;2k
directed;yönlendirilmiş;2k
direction;yön;2k
disappear;yok olmak;2k
disappoint;hayal kırıklığına uğratmak;2k
discipline;disiplin;2k
discuss;tartışmak;2k
disease;hastalık;2k
disgust;iğrenme;2k
dish;tabak;2k
distance;mesafe;2k
district;semt;2k
disturb;rahatsız etmek;2k
dive;dalmak;2k
divide;bölmek;2k
divorce;boşanmak;2k
doll;oyuncak bebek;2k
dollar;dolar;2k
dozen;düzine;2k
drag;sürüklemek;2k
dragon;ejderha;2k
drama;dram;2k
drawer;çekmece;2k
drum;davul;2k
duck;ördek;2k
due;vadesi dolmuş;2k
dump;çöplük;2k
dust;toz;2k
duty;görev;2k
earn;para kazanmak;2k
ease;kolaylaştırmak;2k
economy;ekonomi;2k
edit;düzenlemek;2k
effect;etki;2k
effort;çaba;2k
elder;yaşlı;2k
elect;seçmek;2k
electric;elektrik;2k
